3,Office Supplies,2011-01-27,292494523,235
2,Beverages,2015-12-28,361825549,341
4,Vegetables,2011-01-13,141515767,592
2,Beverages,2015-10-27,127481591,110
1,Vegetables,2011-02-20,844532620,438
3,Meat,2014-11-21,411809480,886
3,Cereal,2016-07-26,773452794,847
2,Baby Food,2012-10-20,479823005,145
2,Office Supplies,2015-02-22,498603188,347
1,Household,2016-08-27,151717174,268
4,Clothes,2011-06-21,181401288,341
6,Snacks,2013-09-19,500204360,429
5,Beverages,2015-11-15,640987718,433
2,Snacks,2011-09-26,878520286,246
3,Cosmetics,2016-05-14,192088067,522
2,Office Supplies,2010-08-14,746630275,175
2,Snacks,2012-04-13,246883237,690
1,Cosmetics,2013-09-19,967895781,190
2,Vegetables,2017-02-26,223957431,257
2,Baby Food,2011-05-20,121455848,540
6,Baby Food,2013-10-24,332936227,332
5,Beverages,2011-06-14,692031657,203
2,Office Supplies,2015-06-20,365978467,839
5,Baby Food,2016-11-30,528934037,349
5,Fruits,2015-03-25,965943562,208
4,Cosmetics,2013-08-22,233629691,133
2,Beverages,2013-06-23,212921321,222
5,Baby Food,2016-10-24,798493468,130
1,Clothes,2012-03-18,671986758,167
2,Cosmetics,2012-10-30,540041816,243
2,Baby Food,2013-10-25,765008771,310
5,Baby Food,2016-02-16,611399734,896
6,Personal Care,2014-03-16,856333482,394
4,Fruits,2016-09-24,652983844,889
2,Cosmetics,2010-09-30,574837148,156
3,Cereal,2017-07-21,289660394,679
2,Personal Care,2015-10-26,771969211,962
2,Personal Care,2017-02-24,835580909,329
4,Office Supplies,2011-03-30,869961678,516
2,Snacks,2015-04-22,723186051,553
3,Office Supplies,2011-12-21,848183858,278
2,Personal Care,2010-08-14,322626245,640
3,Beverages,2012-10-28,523904788,124
3,Fruits,2017-07-28,672654092,148
5,Baby Food,2014-11-13,230407607,252
1,Personal Care,2012-08-26,129491746,472
4,Vegetables,2014-07-15,606854999,668
3,Cosmetics,2011-04-14,345045220,142
2,Vegetables,2013-05-14,900816953,553
3,Household,2010-10-23,827793490,675
6,Office Supplies,2015-07-19,272820842,136
4,Personal Care,2012-10-28,548818433,364
2,Meat,2016-08-25,530341231,314
3,Beverages,2013-10-25,875250566,157
3,Beverages,2016-05-27,688236653,107
5,Snacks,2011-12-25,356917321,840
2,Vegetables,2011-12-13,897616755,327
5,Baby Food,2016-07-20,475433194,162
5,Vegetables,2012-06-18,690415465,739
6,Cosmetics,2010-02-23,962924897,256
4,Cereal,2012-07-23,163533055,224
1,Office Supplies,2011-04-17,905661237,217
3,Snacks,2011-03-22,260462510,535
2,Fruits,2016-03-29,968538653,667
2,Cereal,2012-01-14,254942739,243
3,Beverages,2013-03-17,563473594,102
2,Personal Care,2012-09-15,358242547,444
1,Meat,2015-11-26,873673427,300
1,Personal Care,2010-12-23,355778777,963
2,Clothes,2016-09-23,287465703,227
3,Household,2017-06-18,311067855,374
2,Household,2013-05-19,486101949,363
5,Office Supplies,2013-06-18,349020898,994
3,Household,2017-01-16,951683223,154
3,Snacks,2013-07-18,268025052,333
1,Household,2016-02-23,348095214,400
3,Household,2016-05-17,162255036,187
3,Personal Care,2010-08-14,551178348,270
3,Household,2011-06-18,175851476,362
6,Meat,2013-08-17,467573249,152
2,Fruits,2012-11-26,677954995,556
2,Meat,2013-12-29,462706220,142
4,Vegetables,2016-06-29,691860854,532
2,Office Supplies,2017-06-24,349245774,443
6,Beverages,2014-04-13,838034808,628
2,Cosmetics,2016-06-17,374083030,219
5,Vegetables,2014-03-31,329252374,177
1,Snacks,2015-05-17,231646144,788
5,Vegetables,2012-10-28,667364776,629
4,Vegetables,2010-01-26,871099793,603
3,Baby Food,2011-11-26,728690373,722
7,Office Supplies,2011-10-24,427913033,411
2,Cereal,2012-07-16,584860026,226
4,Snacks,2010-08-28,562908399,580
3,Clothes,2010-06-23,241779744,245
5,Cereal,2011-01-13,544817435,285
2,Vegetables,2015-01-23,298936975,862
